date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/27,2330,港商麥格理,1360,2765,616,2149,12.21,1,buy
8/27,2330,永豐金證券,0039004100300030,121,1678,-1557,8.85,1,sell
8/27,2330,摩根大通,8440,1972,578,1394,7.92,2,buy
8/27,2330,中國信託,6160,72,1091,-1019,5.79,2,sell
8/27,2330,美林,1440,1724,442,1282,7.29,3,buy
8/27,2330,花旗環球,1590,278,692,-414,2.35,3,sell
8/27,2330,美商高盛,1480,1981,1575,406,2.31,4,buy
8/27,2330,永豐金-匯立,0039004100380031,814,1145,-331,1.88,4,sell
8/27,2330,群益金鼎,9100,297,103,194,1.1,5,buy
8/27,2330,國泰-敦南,8888,80,278,-198,1.13,5,sell
8/27,2330,新加坡商瑞銀,1650,720,549,171,0.97,6,buy
8/27,2330,凱基-雙和,0039003200300043,0,156,-156,0.89,6,sell
8/27,2330,香港上海匯豐,8960,192,33,159,0.9,7,buy
8/27,2330,凱基-站前,0039003200300046,10,134,-124,0.7,7,sell
8/27,2330,凱基,9200,251,117,134,0.76,8,buy
8/27,2330,台新-城東,0039004200320072,7,94,-87,0.49,8,sell
8/27,2330,統一,5850,185,67,118,0.67,9,buy
8/27,2330,富邦-台南,9667,4,89,-85,0.48,9,sell
8/27,2330,宏遠證券,1260,135,32,103,0.59,10,buy
8/27,2330,凱基-台北,9268,279,359,-80,0.45,10,sell
8/27,2330,富邦證券,9600,194,113,81,0.46,11,buy
8/27,2330,第一金-高雄,5383,10,60,-50,0.28,11,sell
8/27,2330,台灣摩根士丹利,1470,775,694,81,0.46,12,buy
8/27,2330,兆豐-高雄,003700300030005a,3,54,-51,0.29,12,sell
8/27,2330,法銀巴黎,8900,76,1,75,0.43,13,buy
8/27,2330,台中銀,6110,1,48,-47,0.27,13,sell
8/27,2330,兆豐-新竹,0037003000300056,78,10,68,0.39,14,buy
8/27,2330,富邦-南京,0039003600310043,7,49,-42,0.24,14,sell
8/27,2330,合庫證券,1020,67,2,65,0.37,15,buy
8/27,2330,國泰-板橋,003800380038004b,11,52,-41,0.23,15,sell
8/27,2317,摩根大通,8440,6303,1122,5181,12.36,1,buy
8/27,2317,凱基-台北,9268,1242,1921,-679,1.62,1,sell
8/27,2317,台灣摩根士丹利,1470,5945,992,4953,11.81,2,buy
8/27,2317,國票-南京,003700370039006e,6,510,-504,1.2,2,sell
8/27,2317,新加坡商瑞銀,1650,3441,320,3121,7.44,3,buy
8/27,2317,臺銀,1040,43,506,-463,1.1,3,sell
8/27,2317,花旗環球,1590,2349,613,1736,4.14,4,buy
8/27,2317,富邦-頭份,0039003600320050,5,334,-329,0.78,4,sell
8/27,2317,元大證券,9800,3520,2162,1358,3.24,5,buy
8/27,2317,國泰-敦南,8888,282,588,-306,0.73,5,sell
8/27,2317,美林,1440,1407,400,1007,2.4,6,buy
8/27,2317,富邦-仁愛,9676,27,287,-260,0.62,6,sell
8/27,2317,美商高盛,1480,2520,1604,916,2.19,7,buy
8/27,2317,新光,8560,161,387,-226,0.54,7,sell
8/27,2317,港商野村,1560,939,43,896,2.14,8,buy
8/27,2317,富邦-和美,0039003600310050,23,247,-224,0.53,8,sell
8/27,2317,中國信託-高雄,003600310036004b,609,61,548,1.31,9,buy
8/27,2317,富邦-台北,9623,47,240,-193,0.46,9,sell
8/27,2317,元大-虎尾,003900380030006c,309,25,284,0.68,10,buy
8/27,2317,國泰-館前,0038003800380041,62,250,-188,0.45,10,sell
8/27,2317,富邦證券,9600,329,132,197,0.47,11,buy
8/27,2317,富邦-台中,003900360035004b,30,218,-188,0.45,11,sell
8/27,2317,富邦-斗六,0039003600320047,196,28,168,0.4,12,buy
8/27,2317,中國信託-三重,6161,18,193,-175,0.42,12,sell
8/27,2317,玉山證券,8840,209,67,142,0.34,13,buy
8/27,2317,凱基-台南,9211,28,201,-173,0.41,13,sell
8/27,2317,玉山-新莊,8842,219,104,115,0.27,14,buy
8/27,2317,群益金鼎-基隆,0039003100330045,2,158,-156,0.37,14,sell
8/27,2317,台新,0039004200300030,498,398,100,0.24,15,buy
8/27,2317,元大-大里,0039003800310067,16,170,-154,0.37,15,sell
8/27,2454,港商野村,1560,605,48,557,9.89,1,buy
8/27,2454,美林,1440,194,684,-490,8.7,1,sell
8/27,2454,大和國泰,8890,180,0,180,3.2,2,buy
8/27,2454,台灣摩根士丹利,1470,247,479,-232,4.12,2,sell
8/27,2454,摩根大通,8440,559,400,159,2.82,3,buy
8/27,2454,凱基-台北,9268,192,386,-194,3.44,3,sell
8/27,2454,凱基,9200,94,42,52,0.92,4,buy
8/27,2454,新加坡商瑞銀,1650,226,387,-161,2.86,4,sell
8/27,2454,元大-館前,003900380034004b,40,5,35,0.62,5,buy
8/27,2454,宏遠證券,1260,1,103,-102,1.81,5,sell
8/27,2454,富邦證券,9600,99,71,28,0.5,6,buy
8/27,2454,元大證券,9800,176,267,-91,1.62,6,sell
8/27,2454,富邦-永和,9654,22,3,19,0.34,7,buy
8/27,2454,美商高盛,1480,175,222,-47,0.83,7,sell
8/27,2454,台新,0039004200300030,34,16,18,0.32,8,buy
8/27,2454,花旗環球,1590,108,146,-38,0.67,8,sell
8/27,2454,香港上海匯豐,8960,25,8,17,0.3,9,buy
8/27,2454,康和,8450,0,32,-32,0.57,9,sell
8/27,2454,華南永昌-台中,9302,30,14,16,0.28,10,buy
8/27,2454,玉山證券,8840,8,34,-26,0.46,10,sell
8/27,2454,永豐金證券,0039004100300030,90,74,16,0.28,11,buy
8/27,2454,新光,8560,40,62,-22,0.39,11,sell
8/27,2454,國泰證券,8880,41,27,14,0.25,12,buy
8/27,2454,台新-五權西,0039004200320035,3,21,-18,0.32,12,sell
8/27,2454,富邦-敦南,9663,35,21,14,0.25,13,buy
8/27,2454,永豐金-復興,003900410039005a,3,18,-15,0.27,13,sell
8/27,2454,中國信託-新竹,6165,19,5,14,0.25,14,buy
8/27,2454,凱基-站前,0039003200300046,10,23,-13,0.23,14,sell
8/27,2454,元大-中山北路,0039003800300061,17,4,13,0.23,15,buy
8/27,2454,元大-路竹,0039003800310043,0,10,-10,0.18,15,sell
8/27,2308,摩根大通,8440,1266,181,1085,12.25,1,buy
8/27,2308,永豐金證券,0039004100300030,181,1320,-1139,12.86,1,sell
8/27,2308,富邦證券,9600,352,16,336,3.79,2,buy
8/27,2308,永豐金-匯立,0039004100380031,207,637,-430,4.86,2,sell
8/27,2308,港商麥格理,1360,325,47,278,3.14,3,buy
8/27,2308,美林,1440,159,425,-266,3.0,3,sell
8/27,2308,新加坡商瑞銀,1650,427,172,255,2.88,4,buy
8/27,2308,凱基,9200,40,170,-130,1.47,4,sell
8/27,2308,統一,5850,134,21,113,1.28,5,buy
8/27,2308,香港上海匯豐,8960,30,153,-123,1.39,5,sell
8/27,2308,群益金鼎-忠孝,0039003100380057,110,13,97,1.1,6,buy
8/27,2308,美商高盛,1480,473,578,-105,1.19,6,sell
8/27,2308,元大證券,9800,904,813,91,1.03,7,buy
8/27,2308,元大-南屯,9853,5,91,-86,0.97,7,sell
8/27,2308,港商野村,1560,91,2,89,1.01,8,buy
8/27,2308,臺銀,1040,53,125,-72,0.81,8,sell
8/27,2308,宏遠證券,1260,72,7,65,0.73,9,buy
8/27,2308,康和,8450,1,44,-43,0.49,9,sell
8/27,2308,中國信託,6160,64,17,47,0.53,10,buy
8/27,2308,元大-館前,003900380034004b,3,33,-30,0.34,10,sell
8/27,2308,花旗環球,1590,154,109,45,0.51,11,buy
8/27,2308,台新-嘉義,0039004200320049,0,20,-20,0.23,11,sell
8/27,2308,第一金,5380,51,7,44,0.5,12,buy
8/27,2308,凱基-站前,0039003200300046,13,29,-16,0.18,12,sell
8/27,2308,台新,0039004200300030,83,40,43,0.49,13,buy
8/27,2308,玉山-新竹,0038003800340048,2,17,-15,0.17,13,sell
8/27,2308,華南永昌,9300,58,16,42,0.47,14,buy
8/27,2308,台新-城東,0039004200320072,9,24,-15,0.17,14,sell
8/27,2308,統一-南京,0035003800350055,46,7,39,0.44,15,buy
8/27,2308,凱基-城中,9227,1,15,-14,0.16,15,sell
8/27,2382,美商高盛,1480,1723,300,1423,12.61,1,buy
8/27,2382,凱基-台北,9268,411,1845,-1434,12.7,1,sell
8/27,2382,摩根大通,8440,1367,488,879,7.79,2,buy
8/27,2382,臺銀,1040,0,408,-408,3.61,2,sell
8/27,2382,國泰證券,8880,755,5,750,6.64,3,buy
8/27,2382,元大證券,9800,788,1088,-300,2.66,3,sell
8/27,2382,台灣摩根士丹利,1470,832,163,669,5.93,4,buy
8/27,2382,花旗環球,1590,174,323,-149,1.32,4,sell
8/27,2382,新加坡商瑞銀,1650,735,386,349,3.09,5,buy
8/27,2382,凱基,9200,15,108,-93,0.82,5,sell
8/27,2382,港商野村,1560,391,63,328,2.91,6,buy
8/27,2382,台新-三民,0039004200310033,4,83,-79,0.7,6,sell
8/27,2382,美林,1440,737,423,314,2.78,7,buy
8/27,2382,國泰-敦南,8888,104,163,-59,0.52,7,sell
8/27,2382,凱基-士林,9238,102,0,102,0.9,8,buy
8/27,2382,富邦-建國,9658,23,80,-57,0.5,8,sell
8/27,2382,永豐金證券,0039004100300030,117,47,70,0.62,9,buy
8/27,2382,元大-信義,003900380039006d,0,57,-57,0.5,9,sell
8/27,2382,統一-台中,5856,59,3,56,0.5,10,buy
8/27,2382,台新,0039004200300030,14,64,-50,0.44,10,sell
8/27,2382,中國信託-忠孝,6162,41,2,39,0.35,11,buy
